state,district,year,month,rain
Maharashtra,Amraoti,2014,August,128.9
Maharashtra,Amraoti,2014,September,170.8
Maharashtra,Amraoti,2014,October,28.8
Maharashtra,Amraoti,2014,November,5
Maharashtra,Amraoti,2014,December,0
Maharashtra,Amraoti,2015,January,0
Maharashtra,Amraoti,2015,February,0
Maharashtra,Amraoti,2015,March,0
Maharashtra,Amraoti,2015,April,0
Maharashtra,Amraoti,2015,May,6
Maharashtra,Amraoti,2015,June,70.5
Maharashtra,Amraoti,2015,July,301.7
Maharashtra,Amraoti,2015,August,110.6
Maharashtra,Amraoti,2015,September,87.5
Maharashtra,Amraoti,2015,October,37.9
Maharashtra,Amraoti,2015,November,77.8
Maharashtra,Amraoti,2015,December,6
Maharashtra,Amraoti,2016,January,19.9
Maharashtra,Amraoti,2016,February,3
Maharashtra,Amraoti,2016,March,15.8
Maharashtra,Amraoti,2016,April,0
Maharashtra,Amraoti,2016,May,0
Maharashtra,Amraoti,2016,June,125.9
Maharashtra,Amraoti,2016,July,365.3
Maharashtra,Amraoti,2016,August,371.9
Maharashtra,Amraoti,2016,September,123.6
Maharashtra,Amraoti,2016,October,60.6
Maharashtra,Amraoti,2016,November,15.4
Maharashtra,Amraoti,2016,December,0
Maharashtra,Aurangabad,2020,January,1.1
Maharashtra,Aurangabad,2020,February,0
Maharashtra,Aurangabad,2020,March,0
Maharashtra,Aurangabad,2020,April,0
Maharashtra,Aurangabad,2020,May,3.7
Maharashtra,Aurangabad,2020,June,97
Maharashtra,Aurangabad,2020,July,190.9
Maharashtra,Aurangabad,2020,August,99.3
Maharashtra,Aurangabad,2020,September,250.8
Maharashtra,Aurangabad,2020,October,68.8
Maharashtra,Aurangabad,2020,November,3.4
Maharashtra,Aurangabad,2020,December,0
Maharashtra,Aurangabad,2019,January,0.2
Maharashtra,Aurangabad,2019,February,0.1
Maharashtra,Aurangabad,2019,March,0.9
Maharashtra,Aurangabad,2019,April,0
Maharashtra,Aurangabad,2019,May,1.4
Maharashtra,Aurangabad,2019,June,43
Maharashtra,Aurangabad,2019,July,254.2
Maharashtra,Aurangabad,2019,August,106.3
Maharashtra,Aurangabad,2019,September,224.7
Maharashtra,Aurangabad,2019,October,68.7
Maharashtra,Aurangabad,2019,November,0
Maharashtra,Aurangabad,2019,December,0
Maharashtra,Aurangabad,2018,January,0
Maharashtra,Aurangabad,2018,February,0
Maharashtra,Aurangabad,2018,March,3.2
Maharashtra,Aurangabad,2018,April,0
Maharashtra,Aurangabad,2018,May,15.6
Maharashtra,Aurangabad,2018,June,214.7
Maharashtra,Aurangabad,2018,July,200.7
Maharashtra,Aurangabad,2018,August,282.7
Maharashtra,Aurangabad,2018,September,233
Maharashtra,Aurangabad,2018,October,56.2
Maharashtra,Aurangabad,2018,November,7.8
Maharashtra,Aurangabad,2018,December,0
Maharashtra,Aurangabad,2017,January,0
Maharashtra,Aurangabad,2017,February,0
Maharashtra,Aurangabad,2017,March,0
Maharashtra,Aurangabad,2017,April,1.8
Maharashtra,Aurangabad,2017,May,0
Maharashtra,Aurangabad,2017,June,134.1
Maharashtra,Aurangabad,2017,July,162.8
Maharashtra,Aurangabad,2017,August,123
Maharashtra,Aurangabad,2017,September,156
Maharashtra,Aurangabad,2017,October,0
Maharashtra,Aurangabad,2017,November,9.1
Maharashtra,Aurangabad,2017,December,0
Maharashtra,Aurangabad,2014,January,0
Maharashtra,Aurangabad,2014,February,0
Maharashtra,Aurangabad,2014,March,39
Maharashtra,Aurangabad,2014,April,1.8
Maharashtra,Aurangabad,2014,May,0
Maharashtra,Aurangabad,2014,June,73.5
Maharashtra,Aurangabad,2014,July,88
Maharashtra,Aurangabad,2014,August,123.9
Maharashtra,Aurangabad,2014,September,314.4
Maharashtra,Aurangabad,2014,October,40
Maharashtra,Aurangabad,2014,November,3
Maharashtra,Aurangabad,2014,December,0.6
Maharashtra,Aurangabad,2015,January,0
Maharashtra,Aurangabad,2015,February,0
Maharashtra,Aurangabad,2015,March,0.1
Maharashtra,Aurangabad,2015,April,0.5
Maharashtra,Aurangabad,2015,May,14.1
Maharashtra,Aurangabad,2015,June,34.3
Maharashtra,Aurangabad,2015,July,181.3
Maharashtra,Aurangabad,2015,August,129.8
Maharashtra,Aurangabad,2015,September,164.5
Maharashtra,Aurangabad,2015,October,53.4
Maharashtra,Aurangabad,2015,November,162.3
Maharashtra,Aurangabad,2015,December,3.3
Maharashtra,Aurangabad,2016,January,27
Maharashtra,Aurangabad,2016,February,1.6
Maharashtra,Aurangabad,2016,March,19.2
Maharashtra,Aurangabad,2016,April,0
Maharashtra,Aurangabad,2016,May,2.5
Maharashtra,Aurangabad,2016,June,158.6
Maharashtra,Aurangabad,2016,July,246.3
Maharashtra,Aurangabad,2016,August,252.6
Maharashtra,Aurangabad,2016,September,107.4
Maharashtra,Aurangabad,2016,October,45.6
Maharashtra,Aurangabad,2016,November,78
Maharashtra,Aurangabad,2016,December,0
Maharashtra,Beed,2020,January,0
Maharashtra,Beed,2020,February,0
Maharashtra,Beed,2020,March,0
Maharashtra,Beed,2020,April,0
Maharashtra,Beed,2020,May,2.4
Maharashtra,Beed,2020,June,175.8
Maharashtra,Beed,2020,July,204.2
Maharashtra,Beed,2020,August,52.3
Maharashtra,Beed,2020,September,158.8
Maharashtra,Beed,2020,October,68.7
Maharashtra,Beed,2020,November,0
Maharashtra,Beed,2020,December,0
Maharashtra,Beed,2019,January,0
Maharashtra,Beed,2019,February,0
Maharashtra,Beed,2019,March,0
Maharashtra,Beed,2019,April,0
Maharashtra,Beed,2019,May,0
Maharashtra,Beed,2019,June,57.6
Maharashtra,Beed,2019,July,328.8
Maharashtra,Beed,2019,August,63.1
Maharashtra,Beed,2019,September,210.3
Maharashtra,Beed,2019,October,15.3
Maharashtra,Beed,2019,November,0
Maharashtra,Beed,2019,December,0
Maharashtra,Beed,2018,January,0
Maharashtra,Beed,2018,February,0
Maharashtra,Beed,2018,March,0
Maharashtra,Beed,2018,April,0
Maharashtra,Beed,2018,May,0
Maharashtra,Beed,2018,June,83.5
Maharashtra,Beed,2018,July,60.4
Maharashtra,Beed,2018,August,233
Maharashtra,Beed,2018,September,262.1
Maharashtra,Beed,2018,October,57.6
Maharashtra,Beed,2018,November,0
Maharashtra,Beed,2018,December,0
Maharashtra,Beed,2017,January,0
Maharashtra,Beed,2017,February,0
Maharashtra,Beed,2017,March,0
Maharashtra,Beed,2017,April,0
Maharashtra,Beed,2017,May,0
Maharashtra,Beed,2017,June,80.5
Maharashtra,Beed,2017,July,99
Maharashtra,Beed,2017,August,105.7
